time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448650000	19.8642	14.8779	4.7617	1.86312	0.491571	radar	6.55334	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8152	15.0986	4.72991	1.88199	0.486487	lidar	2.56305	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6679	15.3044	4.39109	2.00148	0.746432	radar	51.4598	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.621	15.469	4.2801	2.02535	0.733134	lidar	4.62104	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5894	15.6143	4.17249	2.01319	0.619593	radar	8.96105	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4667	15.849	4.29432	2.0525	0.62701	lidar	1.48298	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4018	16.0373	4.34578	2.03548	0.496297	radar	11.4599	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2859	16.2474	4.39579	2.06391	0.499397	lidar	0.181149	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1803	16.428	4.34544	2.09791	0.527759	radar	0.990767	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0274	16.6702	4.49711	2.13294	0.536375	lidar	1.75342	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8272	16.883	4.54534	2.23669	0.741236	radar	29.866	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.628	17.134	4.74988	2.28336	0.750322	lidar	3.6298	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.6465	17.233	4.23099	2.19713	0.43048	radar	53.0719	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.4287	17.4855	4.49268	2.22953	0.433261	lidar	6.51793	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.3006	17.6764	4.55518	2.2248	0.355492	radar	4.66108	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1446	17.8865	4.63039	2.24342	0.356133	lidar	1.49079	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	18.0004	18.0036	4.42817	2.31011	0.505123	radar	17.5412	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8521	18.1683	4.42907	2.33471	0.504725	lidar	0.233976	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.7405	18.3063	4.32762	2.34688	0.475631	radar	9.75015	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.5154	18.5307	4.55163	2.37627	0.480515	lidar	3.06519	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.3537	18.6576	4.50652	2.42144	0.545111	radar	5.52686	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1702	18.8194	4.55008	2.44901	0.545259	lidar	0.243888	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9938	18.9851	4.56672	2.46267	0.50648	radar	5.5292	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7745	19.1449	4.6586	2.49082	0.507122	lidar	2.46043	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5514	19.3104	4.77547	2.5289	0.544793	radar	7.31467	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3061	19.4899	4.92145	2.55573	0.54195	lidar	1.35903	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.114	19.5726	4.86472	2.6075	0.612169	radar	16.2244	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8844	19.7194	4.9329	2.63621	0.6095	lidar	1.22546	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7407	19.823	4.63652	2.62271	0.474037	radar	17.4959	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4828	19.9886	4.80352	2.64208	0.465852	lidar	2.37987	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2263	20.1511	4.93442	2.65429	0.438055	radar	12.9891	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.029	20.2663	4.89964	2.67471	0.43823	lidar	2.82529	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8102	20.353	4.90078	2.7121	0.481749	radar	2.84858	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.5852	20.4656	4.91979	2.73416	0.48013	lidar	1.28484	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.325	20.5681	5.04766	2.77325	0.529408	radar	4.30849	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.0877	20.6514	5.04338	2.8005	0.52999	lidar	0.224281	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8387	20.7293	5.10607	2.83797	0.564701	radar	1.08157	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5728	20.8071	5.15072	2.86565	0.562741	lidar	0.861151	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.329	20.8362	5.24785	2.92825	0.663876	radar	9.69732	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0877	20.8757	5.20558	2.96374	0.667134	lidar	0.150655	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
